,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
0,70,82,54,70,75,68,57,75,54,73,75,57,82,94,75,75,70,108,73,68,73,89,71,89,101,70,66,73,83,54,87,80,47,64,75,63,97,70,64,78,80,83,80,77,56,85,78,113,85,78,63,87,78,66,89,83,71,97,110,77,56,61,57,71,80,52,61,97,82,64,77,87,90,96,78,68,70,83,73,83,50,61,54,87,78,63,57,78,61,92,77,63,71,82,82,64,83,64,66,87,94,64,77,73,99,99,47,59,89,64,85,49,83,71,59,80,66
1,68,94,71,75,61,82,87,61,87,47,66,63,85,83,83,77,77,87,82,92,56,71,71,63,64,82,75,104,64,75,52,78,90,75,57,82,52,75,42,89,94,87,54,73,73,83,56,64,106,75,87,61,71,103,87,63,75,101,66,61,83,99,57,59,70,68,94,45,80,64,82,59,68,63,90,63,50,49,115,66,75,78,43,66,68,68,47,57,90,71,54,52,71,66,59,61,64,89,85,80,68,87,66,82,63,80,78,80,82,80,77,73,59,78,77,85,61
2,80,99,43,80,89,71,92,78,56,50,57,78,99,70,68,78,59,56,75,75,75,97,82,92,94,66,68,75,78,71,70,64,85,59,71,57,82,71,85,52,54,64,66,80,50,87,80,80,78,66,89,68,59,97,71,82,61,61,66,54,63,89,78,75,56,71,49,64,104,78,64,57,49,78,63,70,80,47,83,61,66,89,89,70,97,71,56,85,61,80,82,68,57,61,94,73,99,87,68,71,97,77,70,52,63,87,63,80,52,85,59,70,71,56,77,90,63
3,52,78,83,66,92,64,85,75,90,89,54,94,89,57,64,78,54,78,68,75,75,64,80,70,64,64,63,82,90,61,80,80,78,68,92,52,108,85,68,83,70,50,99,78,83,78,66,89,77,101,77,56,82,97,64,75,82,57,85,90,75,89,83,61,82,77,57,85,70,61,59,70,61,68,63,70,73,54,66,63,85,68,66,77,73,90,70,66,64,80,87,85,101,75,85,70,71,71,75,70,108,77,78,70,89,78,71,68,57,68,71,68,57,80,63,61,80
4,68,50,90,66,85,77,61,47,75,75,73,64,63,83,64,49,49,68,103,80,70,80,73,61,71,80,77,71,71,56,90,71,63,82,66,57,82,52,87,52,78,64,73,83,47,85,87,87,89,77,73,78,57,57,106,82,70,61,85,89,75,92,57,70,75,77,77,83,59,77,73,64,71,57,70,78,89,59,68,97,82,64,75,80,78,52,61,73,77,92,56,92,68,64,96,57,57,73,73,66,78,110,66,61,68,71,75,80,80,66,71,61,80,85,73,63,83
5,83,70,59,82,66,80,87,63,77,70,92,85,75,59,52,59,89,70,90,104,75,63,63,75,83,90,75,78,90,56,96,73,71,73,66,54,63,85,80,64,50,73,104,64,92,61,66,66,77,68,103,75,82,78,49,85,63,70,64,96,54,70,89,89,70,73,75,94,61,57,68,63,70,70,71,80,54,66,77,80,64,61,59,89,80,90,64,80,73,117,83,85,73,70,64,52,77,66,82,57,83,66,61,82,80,90,70,52,66,77,68,70,66,75,73,56,89
6,70,61,96,61,70,82,71,71,64,57,78,77,78,80,59,57,56,96,56,59,73,73,89,70,90,89,78,82,78,78,68,77,57,71,83,64,71,92,82,71,90,57,52,75,70,75,78,57,70,90,82,66,75,59,66,57,89,64,83,78,70,64,59,63,66,71,61,97,70,71,70,75,89,89,57,63,92,71,56,52,92,73,96,90,71,75,70,66,70,70,89,59,75,64,70,75,78,70,82,63,61,78,52,75,56,85,89,59,77,87,71,68,64,57,73,87,61
7,66,97,90,47,73,68,63,97,85,90,110,59,61,61,59,73,64,78,73,68,59,83,71,64,68,80,80,66,85,78,64,54,59,94,57,68,87,75,70,56,73,54,56,64,64,82,99,70,83,64,66,59,61,64,82,94,63,61,59,68,75,68,63,97,103,70,80,90,73,59,73,70,50,94,61,59,54,122,78,90,68,64,78,75,66,82,117,85,49,78,71,92,110,78,78,64,54,70,66,71,82,82,71,59,87,73,80,83,89,77,75,54,77,66,59,71,63
8,90,68,63,54,71,70,61,57,52,78,70,56,50,49,54,66,68,82,92,64,64,52,70,59,64,78,77,77,47,85,80,52,89,56,71,85,90,63,64,71,66,56,57,73,83,63,87,52,97,64,71,61,59,71,87,63,80,75,73,61,99,90,57,77,61,57,92,77,75,57,70,82,89,83,63,78,59,75,77,77,52,68,61,68,64,54,90,110,80,66,77,61,75,56,78,78,90,66,71,90,87,75,73,82,85,68,50,103,87,50,61,78,92,77,75,71,71
9,66,90,75,113,66,80,73,49,59,77,80,56,89,59,82,57,47,73,89,108,78,64,96,78,54,106,68,56,73,78,118,96,127,59,63,82,52,70,63,78,70,59,57,82,96,57,57,87,73,78,90,70,61,87,94,83,99,68,64,47,89,82,85,75,71,103,73,78,66,63,75,77,64,71,64,73,80,87,80,94,77,94,70,54,70,90,70,89,82,47,54,89,47,70,64,68,63,63,75,71,75,108,73,78,52,77,64,75,66,97,77,75,66,57,94,89,71
10,87,85,85,57,80,103,56,68,73,50,73,59,59,83,73,73,82,56,68,77,70,66,77,85,54,96,77,54,63,66,83,64,73,66,90,71,75,87,77,64,66,50,80,68,77,70,70,66,71,82,77,77,66,73,54,71,96,83,92,89,73,85,66,83,57,61,89,71,77,77,59,59,82,66,68,61,75,71,78,82,71,70,87,73,82,66,89,63,68,83,103,63,73,78,92,103,90,78,52,77,89,80,68,85,68,87,52,57,82,64,73,77,70,66,77,59,75
11,66,78,75,54,50,78,115,66,87,68,63,64,75,89,66,77,63,59,90,57,85,82,56,63,80,80,94,85,64,82,73,64,54,85,63,73,77,50,83,77,92,80,77,64,78,63,68,73,50,73,71,66,71,61,77,96,77,64,64,66,75,70,57,56,50,64,61,101,77,80,70,71,82,82,87,66,68,64,73,89,90,89,73,78,94,78,80,83,70,78,87,92,59,87,63,54,96,94,66,115,57,99,56,71,71,75,52,57,99,63,61,75,75,70,68,61,87
12,54,70,85,85,59,54,59,77,75,61,57,71,70,71,47,57,66,77,54,75,71,68,87,85,99,71,92,61,94,52,71,70,64,64,87,64,59,66,56,90,80,47,87,52,63,70,73,54,68,71,68,75,68,87,54,42,80,68,66,78,77,75,68,78,63,68,57,71,78,77,59,80,54,87,52,66,73,57,73,68,83,83,75,64,57,89,87,75,66,89,54,66,90,96,63,66,64,66,73,64,101,64,77,71,77,75,73,80,59,70,77,66,70,77,57,66,52
13,63,70,66,73,63,103,92,92,49,57,63,52,68,120,56,63,63,101,82,64,96,83,89,94,63,78,66,73,56,77,97,56,64,97,59,73,90,75,78,80,73,82,70,68,106,68,85,50,73,89,89,110,77,59,73,89,64,87,92,57,68,89,89,56,61,85,63,59,70,56,83,64,63,71,77,90,59,61,61,70,82,85,71,54,75,64,70,99,66,104,85,80,47,90,87,83,85,96,57,80,66,87,66,73,71,73,66,83,83,71,85,70,87,52,83,92,78
14,70,85,68,87,77,73,73,78,89,70,70,66,64,85,66,92,59,68,85,57,92,63,85,73,63,64,61,64,78,64,52,56,47,56,59,104,83,90,52,71,75,64,85,77,87,80,99,70,108,70,61,97,94,61,80,78,64,59,71,101,66,78,90,97,61,75,70,82,61,71,75,71,70,78,82,89,57,64,87,73,68,87,90,73,78,96,90,73,70,57,73,87,59,70,66,57,59,78,94,78,80,78,82,85,82,56,70,73,77,63,106,59,77,75,80,75,101
15,59,96,90,87,80,47,73,61,77,71,77,87,89,64,50,83,59,49,64,75,94,96,59,92,64,78,85,57,54,66,50,78,77,54,71,85,61,56,70,83,64,56,66,77,77,110,92,50,56,97,78,61,71,66,97,96,59,104,104,70,89,77,82,75,90,63,64,71,73,75,87,63,64,111,82,78,90,59,87,77,75,85,80,66,57,83,56,61,66,101,71,87,78,54,66,82,78,70,70,71,75,66,71,64,66,85,50,68,73,83,73,89,52,90,89,63,59
16,73,68,68,78,70,56,70,66,90,59,63,82,87,94,80,83,56,80,52,85,80,68,71,68,80,64,61,68,63,71,59,83,85,80,85,75,90,90,73,87,83,56,85,73,56,70,85,61,56,66,73,83,52,63,73,70,80,47,70,68,80,64,70,64,85,68,66,59,77,80,77,104,68,59,68,71,97,73,71,63,70,75,64,83,59,68,92,77,56,75,71,64,63,82,63,54,82,70,89,52,80,75,82,83,52,71,75,83,96,50,89,92,92,85,90,96,80
